Cartonaș,Întrebare,Sferă,Nr. răspunsuri,% din total,Cluster analitic,Subtemă,Pozitiv,Mixt,Critic,Neutru/Refuz,Label,Net positivity,Criticality index
C3G,România mai puternică în Europa dacă…,Guvernare,16,15.2,România în Europa,politizare națională,50,13,31,6,C3G — România mai puternică în Europa dacă…,19,38.55
C5G,Când o țară europeană ar trebui ajutată,Guvernare,13,12.4,Solidaritate în criză,"criză, război, pandemie, calamitate",100,0,0,0,C5G — Când o țară europeană ar trebui ajutată,100,0.0
C1G,Decizie UE care îți afectează viitorul,Guvernare,12,11.4,Viitor socio-economic,"educație, salarii, locuințe, mobilitate",67,8,8,17,C1G — Decizie UE care îți afectează viitorul,59,19.3
C9C,Imagine/simbol care reprezintă Europa,Comunicare,11,10.5,Europa-imaginar,"simboluri, metafore, reprezentări vizuale",73,18,9,0,C9C — Imagine/simbol care reprezintă Europa,64,15.3
C10C,Ce nu înțeleg adulții despre comunicarea tinerilor,Comunicare,11,10.5,Decalaj de comunicare,"limbaj de lemn, claritate, digital, viteză",73,18,9,0,C10C — Ce nu înțeleg adulții despre comunicarea tinerilor,64,15.3
C4G,Problemă pe care tinerii nu mai acceptă,Guvernare,10,9.5,Cetățenie socială,"locuri de muncă, granturi, locuințe sociale",80,10,10,0,C4G — Problemă pe care tinerii nu mai acceptă,70,13.5
C7C,Semnul de neîncredere într-o informație,Comunicare,10,9.5,Media literacy,"surse, clickbait, AI, canale media",60,10,20,10,C7C — Semnul de neîncredere într-o informație,40,28.5
C2G,Regulă europeană acceptată pentru binele societății,Guvernare,8,7.6,Trade-off normativ,"reguli acceptate, protecție, DSA-like reasoning",88,12,0,0,C2G — Regulă europeană acceptată pentru binele societății,88,4.199999999999999
C6C,Mesajul principal al UE printr-o poveste,Comunicare,8,7.6,Narațiune europeană,"poveste, rețea, promisiune, comunitate",88,12,0,0,C6C — Mesajul principal al UE printr-o poveste,88,4.199999999999999
C8C,Slogan campanie pentru tineri,Comunicare,6,5.7,Mobilizare creativă,"slogan, vot, viitor, campanie",100,0,0,0,C8C — Slogan campanie pentru tineri,100,0.0
